city,lat,lon,max temp,humidity,cloudiness,wind speed,country,date
Ilebo,-4.32,20.58,75.83,72,94,1.12,CD,1609613250
Pevek,69.7,170.31,-8.88,85,100,3.83,RU,1609613250
Bluff,-46.6,168.33,53.01,97,100,5.99,NZ,1609613250
Karratha,-20.74,116.85,85.95,63,38,14.05,AU,1609613250
Gunjur,13.2,-16.73,84.2,45,0,4.7,GM,1609613250
Severo-Kuril'sk,50.68,156.12,25.57,94,100,30.89,RU,1609613250
Sarakhs,36.54,61.16,31.5,90,0,1.79,IR,1609612802
Dibulla,11.27,-73.31,84.09,64,15,16.73,CO,1609613250
Dicabisagan,17.08,122.42,74.95,87,100,10.51,PH,1609612867
Udachny,66.42,112.4,-11.2,83,90,4.47,RU,1609613251
Saint-Pierre,-21.34,55.48,77.0,69,0,19.46,RE,1609613146
Lata,40.16,-8.33,46.99,82,0,1.01,PT,1609612773
Puerto Baquerizo Moreno,-0.9,-89.6,80.6,78,20,16.11,EC,1609613251
Colares,38.8,-9.45,50.0,76,20,9.17,PT,1609613251
Nikol'sk,53.72,46.07,25.0,98,100,10.65,RU,1609613251
Hermanus,-34.42,19.23,68.0,71,0,4.0,ZA,1609612998
Upernavik,72.79,-56.15,9.88,94,100,11.95,GL,1609613252
Kahului,20.89,-156.47,71.6,83,40,10.29,US,1609612395
Magdagachi,53.45,125.8,-19.5,84,0,5.59,RU,1609613252
Port Alfred,-33.59,26.89,71.01,84,6,10.0,ZA,1609613253
Mar del Plata,-38.0,-57.56,91.4,36,0,9.17,AR,1609613234
Cape Town,-33.93,18.42,71.6,60,0,17.22,ZA,1609613253
Dingle,11.0,122.67,75.96,92,100,7.52,PH,1609612660
Jamestown,42.1,-79.24,34.0,86,90,9.17,US,1609613192
Gwembe,-16.5,27.61,65.89,97,100,2.06,ZM,1609613253
Saint George,37.1,-113.58,35.6,51,1,3.36,US,1609613253
Qaanaaq,77.48,-69.36,-1.52,77,0,5.86,GL,1609613253
Vaini,-21.2,-175.2,77.0,94,75,4.7,TO,1609613253
Puerto Ayora,-0.74,-90.35,82.4,65,0,9.17,EC,1609613253
Yellowknife,62.46,-114.35,-27.4,74,75,5.82,CA,1609613114
Avarua,-21.21,-159.78,80.6,83,100,17.22,CK,1609613054
Moose Factory,51.26,-80.61,21.2,85,90,8.05,CA,1609612689
Grande Rivière du Nord,19.58,-72.18,80.6,61,40,17.22,HT,1609613254
East London,-33.02,27.91,69.8,73,0,14.99,ZA,1609613231
Saskylakh,71.92,114.08,-33.16,82,66,7.47,RU,1609613254
Adré,13.47,22.2,76.33,19,100,8.72,TD,1609613254
George Town,5.41,100.34,78.8,83,20,2.24,MY,1609613122
Sadovoye,47.78,44.51,34.25,91,0,7.36,RU,1609613254
Tuktoyaktuk,69.45,-133.04,-5.8,83,75,11.41,CA,1609613254
Hobart,-42.88,147.33,55.99,87,100,0.2,AU,1609613254
Port Elizabeth,-33.92,25.57,69.8,77,0,14.99,ZA,1609612604
Kaitangata,-46.28,169.85,60.01,94,100,1.83,NZ,1609613254
Elizabeth City,36.29,-76.25,63.0,82,1,13.87,US,1609613047
Changping,40.22,116.22,21.99,28,0,6.71,CN,1609613255
Clyde River,70.47,-68.59,-22.0,74,20,4.7,CA,1609613255
Tateyama,34.98,139.87,39.0,54,94,1.99,JP,1609613255
Hithadhoo,-0.6,73.08,82.85,76,9,11.45,MV,1609613046
Waddān,29.16,16.14,62.6,30,0,6.82,LY,1609613255
Geilo,60.53,8.21,11.75,93,92,1.9,NO,1609613255
Verkhniy Lomov,53.47,43.55,34.75,97,100,10.25,RU,1609613255
Bredasdorp,-34.53,20.04,68.0,68,7,11.41,ZA,1609613255
Yulara,-25.24,130.99,82.4,32,90,20.8,AU,1609613255
Cidreira,-30.18,-50.21,75.9,62,0,17.36,BR,1609613255
Mingyue,43.11,128.92,-0.42,77,0,12.59,CN,1609612982
Eureka,40.8,-124.16,54.0,81,40,12.75,US,1609613100
Geraldton,-28.77,114.6,71.6,73,0,9.17,AU,1609613256
Narsaq,60.92,-46.05,32.0,96,75,2.24,GL,1609612813
Viranşehir,37.24,39.76,50.0,55,96,4.56,TR,1609613256
Yamoussoukro,6.82,-5.28,86.0,66,0,4.7,CI,1609613256
Jumla,29.27,82.18,38.46,50,3,3.65,NP,1609613256
Rikitea,-23.12,-134.97,77.85,69,0,10.4,PF,1609613256
Punta Arenas,-53.15,-70.92,60.8,41,20,46.08,CL,1609613256
Ibotirama,-12.19,-43.22,92.64,37,78,1.12,BR,1609613256
Kruisfontein,-34.0,24.73,69.01,77,2,5.01,ZA,1609613234
Saldanha,-33.01,17.94,82.4,34,0,10.29,ZA,1609613257
Chapais,49.78,-74.85,21.2,92,90,4.7,CA,1609612918
Aykhal,66.0,111.5,-11.2,83,90,4.47,RU,1609613258
Albany,42.6,-73.97,39.99,72,82,5.01,US,1609613083
Keroka,-0.78,34.95,57.15,98,100,0.92,KE,1609613258
Butaritari,3.07,172.79,80.78,80,0,17.96,KI,1609613258
Tromsø,69.65,18.96,32.0,96,20,11.41,NO,1609613258
São José da Coroa Grande,-8.9,-35.15,81.91,69,2,10.92,BR,1609613258
Vestmannaeyjar,63.44,-20.27,44.6,100,75,9.17,IS,1609613258
Laas,46.62,10.7,34.0,92,90,4.41,IT,1609613258
Bariloche,-41.15,-71.31,88.0,7,0,12.75,AR,1609613259
Port Hedland,-20.32,118.57,84.2,83,66,12.75,AU,1609612704
Lebu,-37.62,-73.65,62.6,67,0,15.03,CL,1609613259
Saint Paul Harbor,57.79,-152.41,32.0,98,90,17.22,US,1609613259
Inírida,3.87,-67.92,88.52,64,62,2.91,CO,1609613259
Carnarvon,-24.87,113.63,77.0,88,0,16.11,AU,1609613259
Thompson,55.74,-97.86,10.4,85,90,5.82,CA,1609613259
Kununurra,-15.77,128.73,82.4,94,100,4.7,AU,1609612994
Khatanga,71.97,102.5,-14.98,88,100,9.04,RU,1609613259
Castro,-24.79,-50.01,74.66,70,2,0.78,BR,1609613259
Pacific Grove,36.62,-121.92,55.4,62,90,1.1,US,1609612693
Erenhot,43.65,111.98,-7.69,84,7,6.87,CN,1609613259
Nhulunbuy,-12.23,136.77,77.0,88,41,11.41,AU,1609613260
Tasiilaq,65.61,-37.64,30.2,92,100,23.04,GL,1609613260
Malyn,50.77,29.24,32.0,89,0,8.95,UA,1609613260
Longyan,25.11,117.02,45.0,71,0,1.01,CN,1609613260
Kiryat Gat,31.61,34.76,61.0,85,67,3.24,IL,1609612724
Airai,-8.93,125.41,61.84,100,86,1.28,TL,1609613260
Hasaki,35.73,140.83,28.4,74,40,5.82,JP,1609613260
Hong Kong,22.29,114.16,57.99,76,19,1.99,HK,1609612606
Atar,20.52,-13.05,68.65,25,0,9.48,MR,1609613260
Muros,42.78,-9.06,43.0,90,0,10.67,ES,1609613260
Caravelas,-17.71,-39.25,79.61,77,100,9.42,BR,1609612702
Tyup,42.73,78.36,17.65,78,52,2.55,KG,1609613261
Leningradskiy,69.38,178.42,-16.55,87,80,3.51,RU,1609613261
Sijunjung,-0.69,100.95,71.83,91,100,0.96,ID,1609613261
Voi,-3.39,38.56,71.83,90,96,5.08,KE,1609613261
Santa Vitória do Palmar,-33.52,-53.37,73.54,50,0,11.18,BR,1609613261
Ambilobe,-13.2,49.05,76.86,83,100,3.42,MG,1609613261
Dongsheng,39.82,109.98,9.73,83,0,6.8,CN,1609613261
San Policarpo,12.18,125.51,80.15,84,99,14.12,PH,1609613261
Grand Gaube,-20.01,57.66,77.0,73,12,5.99,MU,1609612727
San Miguel de Tucumán,-26.82,-65.22,93.2,46,40,11.41,AR,1609613261
Hangu,39.25,117.79,19.4,73,0,4.47,CN,1609613262
Biak,-0.91,122.88,77.94,80,100,4.56,ID,1609613262
Poum,-20.23,164.02,81.14,81,100,15.66,NC,1609612769
Chumikan,54.72,135.31,-19.35,77,100,20.38,RU,1609612692
Arlit,18.74,7.39,74.95,19,0,2.51,NE,1609613262
Korla,41.76,86.15,16.77,89,38,11.74,CN,1609613262
College,64.86,-147.8,-8.0,69,75,3.38,US,1609613155
Hirara,24.8,125.28,66.6,69,100,15.21,JP,1609613259
Nome,64.5,-165.41,8.6,78,1,6.31,US,1609613262
Ponta do Sol,32.67,-17.1,60.8,59,75,8.05,PT,1609613263
Ambulu,-8.35,113.61,76.01,85,100,2.55,ID,1609613263
Srednekolymsk,67.45,153.68,-25.64,85,100,6.11,RU,1609613263
Bengkulu,-3.8,102.27,75.74,89,89,4.05,ID,1609613264
Portland,45.52,-122.68,50.0,81,90,14.99,US,1609612679
Cabo San Lucas,22.89,-109.91,71.01,43,5,3.36,MX,1609613264
Fortuna,40.6,-124.16,54.0,100,90,9.17,US,1609613042
Calvià,39.57,2.51,42.8,81,13,5.82,ES,1609613264
Atuona,-9.8,-139.03,77.97,78,0,18.54,PF,1609612983
Dunedin,-45.87,170.5,56.05,94,100,4.41,NZ,1609612581
Lagoa,39.05,-27.98,59.83,87,100,35.39,PT,1609613264
Manta,-0.95,-80.73,80.6,69,75,8.05,EC,1609613201
Bambous Virieux,-20.34,57.76,77.0,69,20,13.87,MU,1609613265
Baruun-Urt,46.68,113.28,-19.16,82,22,7.23,MN,1609613265
Usinsk,65.99,57.53,-9.81,83,0,5.64,RU,1609613265
Longyearbyen,78.22,15.64,30.2,74,20,2.24,SJ,1609613265
Beloha,-25.17,45.05,76.6,73,67,21.85,MG,1609612710
Seymchan,62.88,152.43,-22.14,83,100,8.63,RU,1609613265
Pisco,-13.7,-76.22,75.2,73,40,9.17,PE,1609613265
Pimentel,-6.84,-79.93,80.6,54,0,17.22,PE,1609613265
Dhrol,22.57,70.42,60.03,37,0,7.76,IN,1609613265
Kapaa,22.08,-159.32,75.2,73,75,18.34,US,1609612994
Morondava,-20.28,44.28,83.3,79,77,11.14,MG,1609613265
Dawlatabad,36.41,64.91,23.79,86,0,0.65,AF,1609613265
Amahai,-3.33,128.92,82.99,89,100,4.9,ID,1609613266
Flinders,-34.58,150.86,66.99,97,100,4.0,AU,1609613266
Georgiyevskoye,58.73,45.02,12.27,96,100,7.7,RU,1609613266
Chokurdakh,70.63,147.92,-32.76,84,0,4.72,RU,1609613266
Tiksi,71.69,128.87,-23.08,87,100,4.81,RU,1609613266
Zheleznodorozhnyy,55.75,38.0,33.8,97,90,8.95,RU,1609613266
Port Hardy,50.7,-127.42,46.4,87,75,9.17,CA,1609613266
Sitka,57.05,-135.33,42.8,60,90,11.41,US,1609613266
Teya,60.38,92.63,-14.28,85,100,2.46,RU,1609613267
Aklavik,68.22,-135.01,-14.8,75,75,5.82,CA,1609612834
Waipawa,-41.41,175.52,61.0,82,95,16.11,NZ,1609613267
Lishui,28.46,119.91,34.43,83,1,2.13,CN,1609613267
Tual,-5.67,132.75,84.02,77,100,13.82,ID,1609613054
Olafsvik,64.89,-23.71,42.19,97,100,17.18,IS,1609613267
Sabang,5.89,95.32,81.64,79,100,19.13,ID,1609613267
Jiwani,25.05,61.74,65.23,35,0,10.71,PK,1609613267
Naze,28.37,129.48,53.6,76,36,3.36,JP,1609613267
Norman Wells,65.28,-126.83,1.4,64,75,18.34,CA,1609613267
Mount Isa,-20.73,139.5,78.8,78,100,5.82,AU,1609613007
Chota,-6.55,-78.65,59.0,82,75,4.7,PE,1609613268
Genhe,50.78,121.52,-25.37,84,68,2.42,CN,1609613119
Tabou,4.42,-7.35,79.48,84,32,7.74,CI,1609613268
Macapá,0.04,-51.07,89.6,66,75,16.11,BR,1609613268
Maceió,-9.67,-35.74,86.0,58,20,10.29,BR,1609613268
Te Anau,-45.42,167.72,50.58,91,94,0.43,NZ,1609613268
Saint Anthony,45.02,-93.22,25.0,100,40,4.7,US,1609613268
Neiafu,-18.65,-173.98,77.0,94,75,5.82,TO,1609613269
Durban,-29.86,31.03,68.0,88,75,6.93,ZA,1609613269
Teguise,29.06,-13.56,64.4,52,75,12.75,ES,1609613269
Inhambane,-23.86,35.38,77.0,83,75,2.24,MZ,1609613214
Rock Sound,24.9,-76.2,76.48,72,36,13.4,BS,1609613269
Ribeira Grande,38.52,-28.7,60.8,93,75,34.45,PT,1609613270
Taltal,-25.4,-70.48,70.2,62,22,7.25,CL,1609613270
Itacoatiara,-3.14,-58.44,90.99,52,98,1.92,BR,1609613270
Tuatapere,-46.13,167.68,53.01,97,100,5.99,NZ,1609613270
Pahrump,36.21,-115.98,48.99,38,92,3.0,US,1609613270
Ahipara,-35.17,173.17,63.73,87,94,3.13,NZ,1609613270
Burgeo,47.62,-57.62,27.86,92,100,4.94,CA,1609613270
St. George's,12.06,-61.75,84.2,62,20,21.92,GD,1609613166
Santo Tomas,14.11,121.14,78.8,78,40,3.36,PH,1609613270
Middelburg,-25.78,29.46,59.09,78,67,14.65,ZA,1609613187
Esso,55.93,158.7,0.18,85,100,6.76,RU,1609613186
Bojnourd,37.47,57.33,23.0,73,0,1.9,IR,1609613271
Padang,-0.95,100.35,77.0,94,40,2.24,ID,1609613271
Tessalit,20.2,1.01,66.54,24,0,3.74,ML,1609612713
Ilulissat,69.22,-51.1,17.6,61,75,8.05,GL,1609613240
Nokaneng,-19.67,22.27,74.3,78,100,13.47,BW,1609613271
La Paz,-16.5,-68.15,57.2,50,75,11.41,BO,1609613103
Maniitsoq,65.42,-52.9,23.04,87,100,2.28,GL,1609613103
Yar-Sale,66.83,70.83,-25.96,84,0,12.48,RU,1609613272
Road Town,18.42,-64.62,78.8,69,75,12.75,VG,1609613188
Dhandhuka,22.37,71.98,60.62,40,0,9.66,IN,1609613272
Touros,-5.2,-35.46,87.8,58,40,16.11,BR,1609613272
Peruíbe,-24.32,-47.0,72.91,90,100,7.29,BR,1609613077
Beira,-19.84,34.84,82.4,83,20,10.29,MZ,1609613272
Deputatsky,69.3,139.9,-34.69,86,41,1.12,RU,1609613272
Paamiut,61.99,-49.67,28.65,98,100,7.07,GL,1609613272
San Cristobal,7.77,-72.22,80.6,78,75,9.17,VE,1609613028
Lavrentiya,65.58,-171.0,-3.77,88,0,14.81,RU,1609613273
Izhma,65.01,53.91,-2.87,91,96,7.0,RU,1609613273
Byron Bay,-28.65,153.62,69.8,88,77,1.99,AU,1609613156
Japura,-0.32,102.35,71.98,98,100,1.7,ID,1609613273
Orán,-23.13,-64.33,99.0,44,100,1.99,AR,1609613273
Cherskiy,68.75,161.3,-28.41,84,100,6.33,RU,1609613273
Mongoumba,3.64,18.59,78.57,39,0,1.32,CF,1609613273
Adrar,20.5,-10.07,65.53,26,0,7.23,MR,1609612624
Solnechnyy,50.72,136.63,-17.86,82,0,1.95,RU,1609613273
Nanortalik,60.14,-45.24,29.7,97,100,10.29,GL,1609613273
Acarí,-15.43,-74.62,77.38,62,91,9.53,PE,1609613274
Champerico,14.3,-91.92,87.8,66,20,6.93,GT,1609613274
Leopoldshöhe,52.01,8.7,37.99,92,90,2.48,DE,1609613274
Myitkyina,25.38,97.4,53.78,63,33,2.17,MM,1609613274
Hukuntsi,-24.0,21.75,74.01,60,76,7.96,BW,1609613274
Labuhan,-6.88,112.21,78.94,83,100,6.87,ID,1609613274
Walvis Bay,-22.96,14.51,63.0,88,100,11.41,NA,1609613274
Pandan Niog,6.23,120.56,82.06,80,100,11.21,PH,1609613274
Iisalmi,63.56,27.19,26.6,92,40,8.05,FI,1609613275
Loei,17.42,101.5,59.0,82,0,0.4,TH,1609613275
Ust'-Uda,54.17,103.03,-18.22,87,100,1.92,RU,1609613275
São João da Barra,-21.64,-41.05,82.4,65,75,11.41,BR,1609613276
Tonantins,-2.87,-67.8,92.53,51,55,1.32,BR,1609613276
Bubaque,11.28,-15.83,81.19,70,0,11.68,GW,1609612687
Bataiporã,-22.3,-53.27,89.49,48,2,2.24,BR,1609613276
Lerwick,60.15,-1.15,37.4,93,19,11.41,GB,1609613276
Disna,55.57,28.2,30.76,98,95,6.22,BY,1609613276
Morros,-9.45,-46.3,90.34,40,100,4.45,BR,1609613276
Benguela,-12.58,13.41,77.27,76,100,5.84,AO,1609613276
Qandala,11.47,49.87,74.35,71,9,7.4,SO,1609612770
Moree,-29.47,149.85,69.8,88,90,4.7,AU,1609613277
Beroroha,-21.67,45.17,83.64,49,0,1.68,MG,1609613277
Ust-Maya,60.42,134.53,-35.46,82,100,0.65,RU,1609613277
Dikson,73.51,80.55,13.59,96,100,14.58,RU,1609613277
Gornopravdinsk,60.05,69.9,-26.59,85,40,4.85,RU,1609613277
Gizo Government Station,-8.1,156.84,82.83,73,100,6.6,SB,1609613033
Marabu,4.41,114.01,78.8,94,40,5.82,MY,1609613113
Yichang,30.71,111.28,40.6,69,41,3.09,CN,1609613277
Esperance,-33.87,121.9,59.0,62,90,11.41,AU,1609612871
Valença do Piauí,-6.41,-41.75,90.93,42,97,4.0,BR,1609613277
Taber,49.82,-112.15,44.6,52,0,25.28,CA,1609613115
Lengshuijiang,27.69,111.43,42.73,65,80,1.86,CN,1609613171
Ranong,9.97,98.63,73.89,79,94,6.46,TH,1609613278
Lengshuitan,26.41,111.6,42.51,64,3,1.36,CN,1609613278
Fayaoué,-20.65,166.53,81.46,82,100,15.01,NC,1609612941
Molodizhne,48.18,32.66,33.8,86,0,4.47,UA,1609613278
Charters Towers,-20.1,146.27,73.85,89,94,4.56,AU,1609613278
Lusaka,-15.41,28.29,64.4,82,75,3.36,ZM,1609613278
Zabid,14.2,43.32,76.69,64,65,10.04,YE,1609613278
Pangnirtung,66.15,-65.71,-7.6,76,75,3.36,CA,1609612948
Omsukchan,62.53,155.8,-24.45,82,100,8.57,RU,1609613278
Toropets,56.5,31.64,27.37,97,94,7.34,RU,1609613278
Vila Franca do Campo,37.72,-25.43,59.0,82,75,23.04,PT,1609612891
La Rioja,42.25,-2.5,37.4,69,75,10.29,ES,1609613278
Ekibastuz,51.67,75.37,-28.91,86,100,3.31,KZ,1609612989
Derzhavīnsk,51.1,66.32,-11.22,88,57,10.65,KZ,1609613279
Rabaul,-4.2,152.17,79.97,73,100,3.94,PG,1609613279
Spas-Demensk,54.41,34.02,27.01,98,12,5.41,RU,1609613279
Pinawa,50.15,-95.88,32.7,92,100,10.47,CA,1609613279
Namatanai,-3.67,152.43,79.12,77,97,3.89,PG,1609613279
Yabrūd,33.97,36.66,51.8,71,40,6.93,SY,1609613279
Los Llanos de Aridane,28.66,-17.92,64.4,68,75,8.05,ES,1609612712
Katobu,-4.94,122.53,77.09,90,94,3.0,ID,1609613279
Comodoro Rivadavia,-45.87,-67.5,89.6,29,40,23.04,AR,1609612838
Lüderitz,-26.65,15.16,68.0,64,64,8.5,NA,1609613280
Lakes Entrance,-37.88,147.98,64.0,92,100,1.01,AU,1609613280
Keetmanshoop,-26.58,18.13,71.89,76,100,14.07,NA,1609613280
Fairbanks,64.84,-147.72,-8.0,69,75,3.13,US,1609613280
Challapata,-18.9,-66.77,66.11,26,14,3.06,BO,1609613281
Senhor do Bonfim,-10.46,-40.19,90.93,33,98,6.6,BR,1609613281
Buenos Aires,-34.61,-58.38,93.0,48,0,5.82,AR,1609612566
Mandalgovi,45.76,106.27,-10.14,85,100,6.55,MN,1609613281
Pozo Colorado,-23.49,-58.8,101.07,21,97,5.77,PY,1609613281
Basoko,1.24,23.62,75.78,83,20,3.0,CD,1609613281
Palmer,42.16,-72.33,46.4,70,75,14.99,US,1609613253
Ullapool,57.9,-5.16,33.01,14,64,1.01,GB,1609613282
Jalu,29.03,21.55,58.59,42,0,10.56,LY,1609613282
San Fernando del Valle de Catamarca,-28.47,-65.79,81.0,71,11,1.01,AR,1609613282
Lock Haven,41.14,-77.45,45.0,62,99,4.0,US,1609613282
Adoni,15.63,77.28,67.93,75,62,7.76,IN,1609613106
Sjøvegan,68.87,17.85,32.0,92,98,11.41,NO,1609613282
Homer,59.64,-151.55,26.01,85,1,3.94,US,1609613282
Suihua,46.64,127.0,-17.48,86,0,5.88,CN,1609613282
Buckingham,52.0,-0.99,33.01,92,32,6.17,GB,1609613070
Turinskaya Sloboda,57.62,64.39,-17.59,87,81,9.06,RU,1609613283
Mayo,38.89,-76.51,57.0,58,1,10.29,US,1609613283
Honiara,-9.43,159.95,75.2,94,20,2.24,SB,1609612790
Chipata,-13.63,32.65,63.43,99,100,3.11,ZM,1609613053
Lac du Bonnet,50.25,-96.06,28.99,86,100,16.11,CA,1609613283
Mogadishu,2.04,45.34,77.5,79,100,21.05,SO,1609612737
Nautla,20.22,-96.78,62.26,89,100,15.66,MX,1609613283
Menongue,-14.66,17.69,65.07,89,100,4.07,AO,1609613283
Tegul'det,57.31,88.17,-22.81,86,79,4.25,RU,1609613283
Palmas Bellas,9.23,-80.09,82.0,75,4,8.01,PA,1609613283
Isangel,-19.55,169.27,79.93,82,100,14.09,VU,1609613284
Belaya Gora,68.53,146.42,-35.32,83,32,2.06,RU,1609613284
Polyarny,69.2,33.45,24.8,85,40,6.29,RU,1609613284
Ancud,-41.87,-73.82,77.0,53,0,8.05,CL,1609613205
Whyalla,-33.03,137.58,62.6,77,75,8.05,AU,1609613284
Krasnosel'kup,65.7,82.47,-25.19,85,88,11.01,RU,1609613284
Rebrikha,53.07,82.34,-24.63,86,1,4.07,RU,1609613284
Gallup,35.53,-108.74,37.4,47,1,8.05,US,1609613100
Kabo,7.7,18.63,78.84,23,80,1.01,CF,1609613284
Nemuro,43.32,145.57,20.97,81,0,16.55,JP,1609612988
Severobaykal'sk,55.65,109.32,-11.87,82,97,6.26,RU,1609613284
Gutiérrez Zamora,20.45,-97.08,66.2,68,90,16.11,MX,1609613284
Joensuu,62.6,29.76,32.0,100,90,5.82,FI,1609613284
Mehamn,71.04,27.85,26.29,96,96,6.46,NO,1609612879
Inuvik,68.35,-133.72,-11.2,76,100,10.29,CA,1609613209
Camacupa,-12.02,17.48,62.47,96,73,5.26,AO,1609613285
Aitape,-3.14,142.35,78.12,83,100,5.41,PG,1609613285
Hay River,60.82,-115.8,-7.6,76,100,12.75,CA,1609613285
Morgan City,29.7,-91.21,55.99,66,20,12.75,US,1609613119
San Miguel,13.48,-88.18,94.93,30,0,3.69,SV,1609612898
Aswān,24.09,32.91,66.33,30,0,7.72,EG,1609613058
Invercargill,-46.4,168.35,53.01,97,100,5.99,NZ,1609613285
Lake Charles,30.21,-93.2,50.0,70,90,11.41,US,1609613184
Makat,47.65,53.35,22.82,95,100,11.95,KZ,1609613286
Souillac,-20.52,57.52,77.0,69,20,13.87,MU,1609613287
Pontes e Lacerda,-15.23,-59.34,93.69,43,20,2.42,BR,1609613287
Levelland,33.59,-102.38,55.0,15,1,18.34,US,1609613287
Meulaboh,4.14,96.13,77.09,84,100,4.25,ID,1609613178
Honningsvåg,70.98,25.97,28.98,93,84,10.89,NO,1609613287
Mastic Beach,40.77,-72.85,53.6,54,1,26.4,US,1609613287
Yerofey Pavlovich,53.97,121.97,-18.76,82,30,3.36,RU,1609613287
Roald,62.58,6.13,32.0,75,0,8.05,NO,1609612923
Bongandanga,1.5,21.05,75.34,81,94,2.59,CD,1609613287
Florence,43.77,11.25,48.2,87,75,9.17,IT,1609613288
Banda Aceh,5.56,95.32,78.04,84,94,13.0,ID,1609613288
Provideniya,64.38,-173.3,7.59,91,96,20.11,RU,1609613288
Diré,12.28,-10.97,85.77,19,0,1.61,ML,1609613288
Kargasok,59.06,80.86,-27.72,84,0,4.18,RU,1609613288
Mindelo,16.89,-24.98,77.0,61,20,14.99,CV,1609612694
Klaksvík,62.23,-6.59,32.0,78,24,3.04,FO,1609613288
Hofn,64.25,-15.21,39.2,80,100,9.15,IS,1609613288
Ubari,26.59,12.78,60.44,56,0,9.01,LY,1609613288
Nishihara,26.18,127.76,60.8,67,75,11.41,JP,1609613288
Dudinka,69.41,86.18,-14.8,75,90,17.9,RU,1609613289
Kommunarka,55.57,37.49,34.0,96,90,11.18,RU,1609613289
Bethel,41.37,-73.41,48.2,61,20,16.11,US,1609613289
Três Lagoas,-20.75,-51.68,88.99,50,89,9.1,BR,1609613289
Ostrovnoy,68.05,39.51,21.76,96,100,11.32,RU,1609613289
Kota Belud,6.35,116.43,77.0,94,20,3.36,MY,1609613289
Mt. Pleasant,32.79,-79.86,68.0,100,90,8.05,US,1609613289
Predivinsk,57.07,93.44,-19.39,86,100,4.97,RU,1609613289
Thinadhoo,0.53,72.93,82.27,77,2,8.48,MV,1609613289
San Patricio,28.02,-97.52,59.0,62,1,6.93,US,1609613290
Taquari,-29.8,-51.86,90.0,34,11,5.01,BR,1609613290
Karpogory,64.0,44.45,12.09,95,100,9.53,RU,1609613290
Sisimiut,66.94,-53.67,15.12,90,95,6.78,GL,1609613290
Bilibino,68.05,166.44,-11.94,85,100,3.65,RU,1609613290
Leh,34.17,77.58,5.16,59,4,0.83,IN,1609613290
Araguaína,-7.19,-48.21,89.04,54,27,5.03,BR,1609613290
San Andrés,12.58,-81.7,84.2,70,40,13.87,CO,1609613290
Kisangani,0.52,25.2,72.0,95,49,2.1,CD,1609613290
Semey,50.41,80.23,-19.73,87,100,4.61,KZ,1609613290
Puerto Carreño,6.19,-67.49,87.76,57,53,11.25,CO,1609613291
Yumen,40.28,97.2,14.34,80,100,7.63,CN,1609613291
Sinnamary,5.38,-52.95,79.39,85,100,12.21,GF,1609613291
Ketchikan,55.34,-131.65,41.0,93,90,23.04,US,1609613291
